,X Coordinate,Y Coordinate,Young's Modulus [Pa]
197,-3533.012079999852,537.1424450644863,670.058
198,-3533.0039472613767,540.9526330403551,1192.65
199,-3532.999880892139,544.7668873854614,875.075
211,-3532.92261987662,590.5135413113117,194.859
224,-3529.230356608649,518.0752397081919,1511.66
225,-3529.2222238701734,521.8854276840607,464.367
231,-3529.1856265470324,544.7587546469858,539.651
243,-3529.1124319007517,590.5054085728357,333.235
283,-3525.2493811247905,620.9991114874979,24.3457
288,-3521.605914287674,518.0630406004784,1326.4
289,-3521.5977815491983,521.8732285763472,784.191
295,-3521.561184226058,544.7465555392719,182.038
305,-3521.5001886874898,582.8687671441471,1024.72
307,-3521.487989579776,590.4932094651222,458.509
320,-3517.7916599425675,518.0549078620029,662.822
334,-3517.7062661885725,571.4260041088282,5426.19
339,-3517.67373523467,590.4891430958846,126.123
344,-3517.645270650005,609.548215713703,24.26
352,-3513.981471966699,518.0508414927649,1852.5
399,-3510.0777574983595,575.228059346221,158.066
459,-3502.477713392812,559.9669755965574,2792.74
487,-3498.6878572631326,544.7099582161318,3889.73
578,-3487.281691550954,525.6305537521239,681.198
579,-3487.277625181716,529.4448080972302,535.179
591,-3487.2044305354348,575.19146202308,2895.14
608,-3483.4837026827986,518.0020450619108,2584.4
623,-3483.390176190328,575.1833292846045,526.706
627,-3483.365777974901,590.4322139265546,644.898
644,-3479.6450501222653,533.2427969653854,724.465
655,-3479.57998821446,575.175196546129,961.909
672,-3475.859260361824,517.9898459541973,4118.75
707,-3472.0287405397657,529.4163435125652,464.373
743,-3468.1900879792324,544.6611617852773,14.518
769,-3464.416497326504,521.7797020838766,1848.03
832,-3456.796121374768,517.9573150002943,1805.17
896,-3449.171679053792,517.9451158925808,4675.46
898,-3449.159479946079,525.5695582135559,3099.45
929,-3445.3533583394483,521.7512374992116,2610.92
930,-3445.3492919702103,525.5614254750799,521.865
955,-3445.194769939172,620.8689876718868,36.0215
998,-3437.700451433808,540.7981110093165,4280.48
1024,-3718.576773800052,451.8950803621292,2970.54
1025,-3718.572707430814,455.7052683379975,1043.5
1026,-3718.5645746923374,459.5195226831038,1499.78
1027,-3718.5605083231,463.3297106589725,4916.55
1031,-3718.5320437384353,478.5785953009226,1639.66
1032,-3718.527977369197,482.39284964602894,935.656
1033,-3718.519844630722,486.2030376218977,1009.19
1045,-3718.44664998444,531.949691547748,9375.64
1046,-3718.4425836152022,535.7639458928543,7880.13
1047,-3718.434450876727,539.5741338687226,953.129
